Generacion,Mejor x1,Mejor x2,Mejor Fitness
1,0.9899142875086557,-0.260537094561192,-0.7766778282888847
2,0.41144270954468165,0.2998545390603917,-0.9320691045720225
3,0.41144270954468165,0.2998545390603917,-0.9320691045720225
4,0.41144270954468165,0.2998545390603917,-0.9320691045720225
5,-0.431558109854549,0.29810230676218125,-0.935621239044945
6,-0.3595137177938087,-0.3719627233737587,-0.9359583894721443
7,-0.030325739582691913,-0.018276700139396973,-0.9552427452526286
8,-0.030325739582691913,-0.018276700139396973,-0.9552427452526286
9,-0.030325739582691913,-0.018276700139396973,-0.9552427452526286
10,-0.030325739582691913,-0.018276700139396973,-0.9552427452526286
11,-0.030325739582691913,-0.018276700139396973,-0.9552427452526286
12,-0.030325739582691913,-0.018276700139396973,-0.9552427452526286
13,-0.030325739582691913,-0.018276700139396973,-0.9552427452526286
14,-0.030325739582691913,-0.018276700139396973,-0.9552427452526286
15,-0.030325739582691913,-0.018276700139396973,-0.9552427452526286
16,-0.018611101083560483,-0.0041634670710789246,-0.9868738417972368
17,-0.018611101083560483,-0.0041634670710789246,-0.9868738417972368
18,-0.018611101083560483,-0.0041634670710789246,-0.9868738417972368
19,-0.018611101083560483,-0.0041634670710789246,-0.9868738417972368
20,-0.018611101083560483,-0.0041634670710789246,-0.9868738417972368
21,-0.018611101083560483,-0.0041634670710789246,-0.9868738417972368
22,-0.018611101083560483,-0.0041634670710789246,-0.9868738417972368
23,-0.018611101083560483,-0.0041634670710789246,-0.9868738417972368
24,-0.018611101083560483,-0.0041634670710789246,-0.9868738417972368
25,-0.018611101083560483,-0.0041634670710789246,-0.9868738417972368
26,-0.018611101083560483,-0.0041634670710789246,-0.9868738417972368
27,-0.018611101083560483,-0.0041634670710789246,-0.9868738417972368
28,-0.018611101083560483,-0.0041634670710789246,-0.9868738417972368
29,-0.018611101083560483,-0.0041634670710789246,-0.9868738417972368
30,-0.018611101083560483,-0.0041634670710789246,-0.9868738417972368
31,-0.018611101083560483,-0.0041634670710789246,-0.9868738417972368
32,-0.018611101083560483,-0.0041634670710789246,-0.9868738417972368
33,-0.018611101083560483,-0.0041634670710789246,-0.9868738417972368
34,-0.018611101083560483,-0.0041634670710789246,-0.9868738417972368
35,-0.018611101083560483,-0.0041634670710789246,-0.9868738417972368
36,-0.018611101083560483,-0.0041634670710789246,-0.9868738417972368
37,-0.018611101083560483,-0.0041634670710789246,-0.9868738417972368
38,-0.018611101083560483,-0.0041634670710789246,-0.9868738417972368
39,-0.018611101083560483,-0.0041634670710789246,-0.9868738417972368
40,-0.018611101083560483,-0.0041634670710789246,-0.9868738417972368
41,-0.018611101083560483,-0.0041634670710789246,-0.9868738417972368
42,-0.018611101083560483,-0.0041634670710789246,-0.9868738417972368
43,-0.018611101083560483,-0.0041634670710789246,-0.9868738417972368
44,-0.018611101083560483,-0.0041634670710789246,-0.9868738417972368
45,-0.018611101083560483,-0.0041634670710789246,-0.9868738417972368
46,-0.018611101083560483,-0.0041634670710789246,-0.9868738417972368
47,-0.018611101083560483,-0.0041634670710789246,-0.9868738417972368
48,-0.018611101083560483,-0.0041634670710789246,-0.9868738417972368
49,-0.018611101083560483,-0.0041634670710789246,-0.9868738417972368
50,-0.018611101083560483,-0.0041634670710789246,-0.9868738417972368
51,-0.018611101083560483,-0.0041634670710789246,-0.9868738417972368
52,-0.018611101083560483,-0.0041634670710789246,-0.9868738417972368
53,-0.018611101083560483,-0.0041634670710789246,-0.9868738417972368
54,-0.018611101083560483,-0.0041634670710789246,-0.9868738417972368
55,-0.018611101083560483,-0.0041634670710789246,-0.9868738417972368
56,-0.018611101083560483,-0.0041634670710789246,-0.9868738417972368
57,-0.018611101083560483,-0.0041634670710789246,-0.9868738417972368
58,-0.018611101083560483,-0.0041634670710789246,-0.9868738417972368
59,-0.018611101083560483,-0.0041634670710789246,-0.9868738417972368
60,-0.018611101083560483,-0.0041634670710789246,-0.9868738417972368
61,-0.018611101083560483,-0.0041634670710789246,-0.9868738417972368
62,-0.013035038319915745,-0.00043075816789633903,-0.9938467062284497
63,-0.013035038319915745,-0.00043075816789633903,-0.9938467062284497
64,-0.013035038319915745,-0.00043075816789633903,-0.9938467062284497
65,-0.013035038319915745,-0.00043075816789633903,-0.9938467062284497
66,-0.013035038319915745,-0.00043075816789633903,-0.9938467062284497
67,-0.013035038319915745,-0.00043075816789633903,-0.9938467062284497
68,-0.013035038319915745,-0.00043075816789633903,-0.9938467062284497
69,-0.013035038319915745,-0.00043075816789633903,-0.9938467062284497
70,-0.013035038319915745,-0.00043075816789633903,-0.9938467062284497
71,-0.013035038319915745,-0.00043075816789633903,-0.9938467062284497
72,-0.013035038319915745,-0.00043075816789633903,-0.9938467062284497
73,-0.013035038319915745,-0.00043075816789633903,-0.9938467062284497
74,-0.013035038319915745,-0.00043075816789633903,-0.9938467062284497
75,-0.013035038319915745,-0.00043075816789633903,-0.9938467062284497
76,-0.013035038319915745,-0.00043075816789633903,-0.9938467062284497
77,-0.013035038319915745,-0.00043075816789633903,-0.9938467062284497
78,-0.013035038319915745,-0.00043075816789633903,-0.9938467062284497
79,-0.013035038319915745,-0.00043075816789633903,-0.9938467062284497
80,-0.013035038319915745,-0.00043075816789633903,-0.9938467062284497
81,-0.013035038319915745,-0.00043075816789633903,-0.9938467062284497
82,-0.013035038319915745,-0.00043075816789633903,-0.9938467062284497
83,-0.013035038319915745,-0.00043075816789633903,-0.9938467062284497
84,-0.013035038319915745,-0.00043075816789633903,-0.9938467062284497
85,-0.013035038319915745,-0.00043075816789633903,-0.9938467062284497
86,-0.013035038319915745,-0.00043075816789633903,-0.9938467062284497
87,-0.013035038319915745,-0.00043075816789633903,-0.9938467062284497
88,-0.013035038319915745,-0.00043075816789633903,-0.9938467062284497
89,-0.013035038319915745,-0.00043075816789633903,-0.9938467062284497
90,-0.013035038319915745,-0.00043075816789633903,-0.9938467062284497
91,-0.013035038319915745,-0.00043075816789633903,-0.9938467062284497
92,-0.013035038319915745,-0.00043075816789633903,-0.9938467062284497
93,-0.013035038319915745,-0.00043075816789633903,-0.9938467062284497
94,-0.013035038319915745,-0.00043075816789633903,-0.9938467062284497
95,-0.013035038319915745,-0.00043075816789633903,-0.9938467062284497
96,-0.013035038319915745,-0.00043075816789633903,-0.9938467062284497
97,-0.013035038319915745,-0.00043075816789633903,-0.9938467062284497
98,-0.013035038319915745,-0.00043075816789633903,-0.9938467062284497
99,-0.013035038319915745,-0.00043075816789633903,-0.9938467062284497
100,-0.013035038319915745,-0.00043075816789633903,-0.9938467062284497
101,-0.013035038319915745,-0.00043075816789633903,-0.9938467062284497
102,-0.013035038319915745,-0.00043075816789633903,-0.9938467062284497
103,-0.013035038319915745,-0.00043075816789633903,-0.9938467062284497
104,-0.013035038319915745,-0.00043075816789633903,-0.9938467062284497
105,-0.013035038319915745,-0.00043075816789633903,-0.9938467062284497
106,-0.013035038319915745,-0.00043075816789633903,-0.9938467062284497
107,-0.013035038319915745,-0.00043075816789633903,-0.9938467062284497
108,-0.013035038319915745,-0.00043075816789633903,-0.9938467062284497
109,-0.013035038319915745,-0.00043075816789633903,-0.9938467062284497
110,-0.013035038319915745,-0.00043075816789633903,-0.9938467062284497
111,-0.013035038319915745,-0.00043075816789633903,-0.9938467062284497
112,-0.013035038319915745,-0.00043075816789633903,-0.9938467062284497
113,-0.013035038319915745,-0.00043075816789633903,-0.9938467062284497
114,-0.013035038319915745,-0.00043075816789633903,-0.9938467062284497
115,-0.013035038319915745,-0.00043075816789633903,-0.9938467062284497
116,-0.013035038319915745,-0.00043075816789633903,-0.9938467062284497
117,-0.013035038319915745,-0.00043075816789633903,-0.9938467062284497
118,-0.013035038319915745,-0.00043075816789633903,-0.9938467062284497
119,-0.013035038319915745,-0.00043075816789633903,-0.9938467062284497
120,-0.013035038319915745,-0.00043075816789633903,-0.9938467062284497
121,-0.013035038319915745,-0.00043075816789633903,-0.9938467062284497
122,-0.013035038319915745,-0.00043075816789633903,-0.9938467062284497
123,-0.013035038319915745,-0.00043075816789633903,-0.9938467062284497
124,-0.013035038319915745,-0.00043075816789633903,-0.9938467062284497
125,-0.013035038319915745,-0.00043075816789633903,-0.9938467062284497
126,-0.013035038319915745,-0.00043075816789633903,-0.9938467062284497
127,-0.013035038319915745,-0.00043075816789633903,-0.9938467062284497
128,-0.013035038319915745,-0.00043075816789633903,-0.9938467062284497
129,-0.013035038319915745,-0.00043075816789633903,-0.9938467062284497
130,-0.013035038319915745,-0.00043075816789633903,-0.9938467062284497
131,-0.013035038319915745,-0.00043075816789633903,-0.9938467062284497
132,-0.013035038319915745,-0.00043075816789633903,-0.9938467062284497
133,-0.013035038319915745,-0.00043075816789633903,-0.9938467062284497
134,-0.013035038319915745,-0.00043075816789633903,-0.9938467062284497
135,-0.013035038319915745,-0.00043075816789633903,-0.9938467062284497
136,-0.013035038319915745,-0.00043075816789633903,-0.9938467062284497
137,-0.013035038319915745,-0.00043075816789633903,-0.9938467062284497
138,-0.013035038319915745,-0.00043075816789633903,-0.9938467062284497
139,-0.013035038319915745,-0.00043075816789633903,-0.9938467062284497
140,-0.013035038319915745,-0.00043075816789633903,-0.9938467062284497
141,-0.013035038319915745,-0.00043075816789633903,-0.9938467062284497
142,-0.013035038319915745,-0.00043075816789633903,-0.9938467062284497
143,-0.013035038319915745,-0.00043075816789633903,-0.9938467062284497
144,-0.013035038319915745,-0.00043075816789633903,-0.9938467062284497
145,-0.013035038319915745,-0.00043075816789633903,-0.9938467062284497
146,-0.013035038319915745,-0.00043075816789633903,-0.9938467062284497
147,-0.013035038319915745,-0.00043075816789633903,-0.9938467062284497
148,-0.013035038319915745,-0.00043075816789633903,-0.9938467062284497
149,-0.013035038319915745,-0.00043075816789633903,-0.9938467062284497
150,-0.013035038319915745,-0.00043075816789633903,-0.9938467062284497
151,-0.013035038319915745,-0.00043075816789633903,-0.9938467062284497
152,-0.013035038319915745,-0.00043075816789633903,-0.9938467062284497
153,-0.002493829323050978,0.009113466118159386,-0.9967673148925927
154,-0.002493829323050978,0.009113466118159386,-0.9967673148925927
155,-0.002493829323050978,0.009113466118159386,-0.9967673148925927
156,-0.002493829323050978,0.009113466118159386,-0.9967673148925927
157,-0.002493829323050978,0.009113466118159386,-0.9967673148925927
158,-0.002493829323050978,0.009113466118159386,-0.9967673148925927
159,-0.002493829323050978,0.009113466118159386,-0.9967673148925927
160,-0.002493829323050978,0.009113466118159386,-0.9967673148925927
161,-0.002493829323050978,0.009113466118159386,-0.9967673148925927
162,-0.002493829323050978,0.009113466118159386,-0.9967673148925927
163,-0.002493829323050978,0.009113466118159386,-0.9967673148925927
164,-0.002493829323050978,0.009113466118159386,-0.9967673148925927
165,-0.002493829323050978,0.009113466118159386,-0.9967673148925927
166,-0.002493829323050978,0.009113466118159386,-0.9967673148925927
167,-0.002493829323050978,0.009113466118159386,-0.9967673148925927
168,-0.002493829323050978,0.009113466118159386,-0.9967673148925927
169,-0.002493829323050978,0.009113466118159386,-0.9967673148925927
170,-0.002493829323050978,0.009113466118159386,-0.9967673148925927
171,-0.002493829323050978,0.009113466118159386,-0.9967673148925927
172,-0.002493829323050978,0.009113466118159386,-0.9967673148925927
173,-0.002493829323050978,0.009113466118159386,-0.9967673148925927
174,-0.002493829323050978,0.009113466118159386,-0.9967673148925927
175,-0.002493829323050978,0.009113466118159386,-0.9967673148925927
176,-0.002493829323050978,0.009113466118159386,-0.9967673148925927
177,-0.002493829323050978,0.009113466118159386,-0.9967673148925927
178,-0.002493829323050978,0.009113466118159386,-0.9967673148925927
179,-0.002493829323050978,0.009113466118159386,-0.9967673148925927
180,-0.002493829323050978,0.009113466118159386,-0.9967673148925927
181,-0.002493829323050978,0.009113466118159386,-0.9967673148925927
182,-0.002493829323050978,0.009113466118159386,-0.9967673148925927
183,-0.002493829323050978,0.009113466118159386,-0.9967673148925927
184,-0.002493829323050978,0.009113466118159386,-0.9967673148925927
185,-0.002493829323050978,0.009113466118159386,-0.9967673148925927
186,-0.002493829323050978,0.009113466118159386,-0.9967673148925927
187,-0.006262018504821887,0.00255470523576011,-0.9983428694803556
188,-0.006262018504821887,0.00255470523576011,-0.9983428694803556
189,-0.006262018504821887,0.00255470523576011,-0.9983428694803556
190,-0.006262018504821887,0.00255470523576011,-0.9983428694803556
191,-0.006262018504821887,0.00255470523576011,-0.9983428694803556
192,-0.006262018504821887,0.00255470523576011,-0.9983428694803556
193,-0.006262018504821887,0.00255470523576011,-0.9983428694803556
194,-0.006262018504821887,0.00255470523576011,-0.9983428694803556
195,-0.006262018504821887,0.00255470523576011,-0.9983428694803556
196,-0.006262018504821887,0.00255470523576011,-0.9983428694803556
197,-0.006262018504821887,0.00255470523576011,-0.9983428694803556
198,-0.006262018504821887,0.00255470523576011,-0.9983428694803556
199,-0.006262018504821887,0.00255470523576011,-0.9983428694803556
200,-0.006262018504821887,0.00255470523576011,-0.9983428694803556
